rank,name,score,num,dir,act,type,year,city,qu
102,摩登时代,9.2,96083人评价,查理·卓别林,"主演:,查理·卓别林,Charles,Chaplin,...",爱情,1936,美国,大时代中的人生，小人物的悲喜。
103,穿条纹睡衣的男孩,8.9,158998人评价,马克·赫门,"主演:,阿沙·巴特菲尔德,Asa,Butterfield,/,...",战争,2008,英国,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
104,阿凡达,8.6,558480人评价,詹姆斯·卡梅隆,"主演:,萨姆·沃辛顿,Sam,Worthington,...",冒险,2009,美国,绝对意义上的美轮美奂。
105,爱在黎明破晓前,8.7,234771人评价,理查德·林克莱特,"主演:,伊桑·霍克,Ethan,Hawke,...",爱情,1995,美国,缘分是个连绵词，最美不过一瞬。
106,消失的爱人,8.7,379751人评价,大卫·芬奇,"主演:,本·阿弗莱克,Ben,Affleck,/,罗莎蒙...",惊悚,2014,美国,年度最佳date movie。
107,风之谷,8.8,186506人评价,宫崎骏,"主演:,岛本须美,Sumi,Shimamoto,/,松田洋治,Y...",冒险,1984,日本,动画片的圣经。
108,爱在日落黄昏时,8.7,210006人评价,理查德·林克莱特,"主演:,伊桑·霍克,Ethan,Hawke,...",爱情,2004,美国,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
109,侧耳倾听,8.8,179387人评价,近藤喜文,"主演:,本名阳子,Youko,Honna,/,小林桂树,K...",音乐,1995,日本,少女情怀总是诗。
110,倩女幽魂,8.6,270430人评价,程小东,"主演:,张国荣,Leslie,Cheung,/,王祖贤,Joey,W...",古装,1987,香港,两张绝世的脸。 
111,超脱,8.8,183022人评价,托尼·凯耶,"主演:,艾德里安·布洛迪,Adrien,Brody,/,马西...",剧情,2011,美国,穷尽一生，我们要学会的，不过是彼此拥抱。
112,红辣椒,8.9,143916人评价,今敏,"主演:,林原惠美,Megumi,Hayashibara,/,古谷彻,T...",惊悚,2006,日本,梦的勾结。
113,恐怖直播,8.7,237382人评价,金秉祐,"主演:,河正宇,Jung-woo,Ha,/,李璟荣,Kyeong-y...",悬疑,2013,韩国,恐怖分子的“秋菊打官司”。
114,萤火虫之墓,8.7,214274人评价,高畑勋,"主演:,辰己努,/,白石绫乃,/,志乃原良子",战争,1988,日本,幸福是生生不息，却难以触及的远。 
115,驯龙高手,8.7,301335人评价,迪恩·德布洛斯,"/,克里斯·桑德斯,Chris,Sanders,主演:...",家庭,2010,美国,和谐的生活离不开摸头与被摸头。
